Name,Match,Runs,Wicket,Century,Half-Century
Virat Kohli,274,12898,4,46,65
Rohit Sharma,243,9825,8,30,48
Shikar Dhawan,167,6793,0,17,39
Suryakumar Yadav,23,433,0,0,2
K.L Rahul,54,1986,0,5,13
Ishan Kishan,14,510,0,1,3
Shubman Gill,24,1311,0,4,5
Hardik Pandya ,74,1584,72,0,9
Ravindra Jadeja,174,2526,191,0,13
Krunal Pandya,5,130,2,0,1
Ravichandran Ashwin,113,707,151,0,1
Bhuvneshwar Kumar,121,552,141,0,1
Mohammed Shami,90,204,162,0,0
Mohammed Siraj,24,30,43,0,0
Yuzvendra Chahal,74,77,121,0,0
Axar Patel,51,412,58,0,2
Rishabh Pant,30,865,0,1,5
Ajinkya Rahane,90,2962,0,3,24
