1,Virat Kohli,05-11-1998,Batsman,Delhi,274,12898,4,46,65
2,Rohit Sharma,30-04-1987,Batsman,Nagpur,243,9825,8,30,48
3,Shikar Dhawan,05-12-1985,Batsman,Delhi,167,6793,0,17,39
4,Suryakumar Yadav,14-09-1990,Batsman,Mumbai,23,433,0,0,2
5,K.L Rahul,18-04-1992,Batsman,Manglore,54,1986,0,5,13
6,Ishan Kishan,18-07-1998,Kepper,Patna,14,510,0,1,3
7,Shubman Gill,08-09-1999,Batsman,Firozpur,24,1311,0,4,5
8,Hardik Pandya ,11-10-1993,All-Rounder,Vadodara,74,1584,72,0,9
9,Ravindra Jadeja,06-12-1988,All-Rounder,Jamnagar,174,2526,191,0,13
10,Krunal Pandya,24-03-1991,All-Rounder,Vadodara,5,130,2,0,1
11,Ravichandran Ashwin,17-09-1986,All-Rounder,Chennai,113,707,151,0,1
12,Bhuvneshwar Kumar,05-02-1990,Bowler,Meerut,121,552,141,0,1
13,Mohammed Shami,03-09-1990,Bowler,Amroha,90,204,162,0,0
14,Mohammed Siraj,13-03-1994,Bowler,Hyderabad,24,30,43,0,0
15,Yuzvendra Chahal,23-07-1990,Bowler,Jind,74,77,121,0,0
16,Axar Patel,20-01-1994,Bowler,Anand,51,412,58,0,2
17,Rishabh Pant,04-10-1997,Kepper,Roorkee,30,865,0,1,5
18,Ajinkya Rahane,06-06-1998,Batsman,Sagamner,90,2962,0,3,24
